Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11
428.867881345129,7.13006595404288,209.26878210988,19.6001580578317,787.249227937169,342.018792703643,341.129054120879,343.338271236851,231918.750822293,212079.412993467,3.78084439995927
424.341548309234,7.14863002297703,205.569037791213,19.8231457097282,773.331142166944,341.641723604858,340.455405494506,343.401028315802,232558.334429724,212772.550657956,3.68702586661236
419.815215273339,7.16629194059305,201.869293472545,20.0401667785684,759.413056396718,341.264654506072,339.781756868133,343.463785394752,233197.918037155,213465.688322445,3.59320733326545
415.288882237444,7.18302763713597,198.169549153878,20.2507481274752,745.494970626493,340.887585407287,339.108108241759,343.526542473703,233837.501644587,214158.825986934,3.49938879991854
410.762549201549,7.19881265373273,194.46980483521,20.4543990578049,731.576884856267,340.510516308501,338.434459615386,343.589299552653,234477.085252018,214851.963651423,3.40557026657163
406.236216165655,7.21362213740347,190.770060516543,20.6506108210059,717.658799086042,340.133447209716,337.760810989012,343.652056631604,235116.668859449,215545.101315912,3.31175173322473
401.70988312976,7.22743083601044,187.070316197875,20.8388561171748,703.740713315816,339.75637811093,337.087162362639,343.714813710554,235756.25246688,216238.238980401,3.21793319987782
397.183550093865,7.24021309314423,183.370571879208,21.018588579824,689.82262754559,339.379309012145,336.413513736265,343.777570789504,236395.836074311,216931.37664489,3.12411466653091
392.65721705797,7.25194284294589,179.67082756054,21.1892422463506,675.904541775365,339.002239913359,335.739865109892,343.840327868455,237035.419681742,217624.514309379,3.030296133184
388.130884022075,7.2625936048641,175.971083241872,21.3502310136761,661.986456005139,338.625170814574,335.066216483518,343.903084947405,237675.003289173,218317.651973867,2.93647759983709
383.604550986181,7.27213847834647,172.271338923205,21.500948078493,648.068370234914,338.248101715788,334.392567857145,343.965842026356,238314.586896604,219010.789638357,2.84265906649018
379.078217950286,7.28055013746365,168.571594604537,21.6407653615375,634.150284464688,337.871032617003,333.718919230771,344.028599105306,238954.170504035,219703.927302845,2.74884053314327
374.551884914391,7.28780082546546,164.87185028587,21.7690329152736,620.232198694463,337.493963518217,333.045270604398,344.091356184257,239593.754111466,220397.064967334,2.65502199979636
370.025551878496,7.29386234926766,161.172105967202,21.8850783143455,606.314112924237,337.116894419432,332.371621978024,344.154113263207,240233.337718898,221090.202631823,2.56120346644945
365.499218842601,7.29870607386871,157.472361648535,21.9882060281265,592.396027154012,336.739825320646,331.697973351651,344.216870342158,240872.921326329,221783.340296312,2.46738493310254
360.972885806706,7.30230291669476,153.772617329867,22.0776967746577,578.477941383786,336.36275622186,331.024324725277,344.279627421108,241512.50493376,222476.477960801,2.37356639975563
356.446552770811,7.3046233418723,150.0728730112,22.1528068552383,564.55985561356,335.985687123075,330.350676098904,344.342384500058,242152.088541191,223169.61562529,2.27974786640872
351.920219734917,7.30563735442686,146.373128692532,22.2127674688907,550.641769843335,335.608618024289,329.67702747253,344.405141579009,242791.672148622,223862.753289779,2.18592933306181
347.393886699022,7.3053144944068,142.673384373865,22.2567840058895,536.723684073109,335.231548925504,329.003378846157,344.467898657959,243431.255756053,224555.890954268,2.0921107997149
342.867553663127,7.30362383093092,138.973640055197,22.2840353195001,522.805598302884,334.854479826718,328.329730219783,344.53065573691,244070.839363484,225249.028618757,1.99829226636799
338.341220627232,7.30053395615847,135.273895736529,22.2936729750347,508.887512532658,334.477410727933,327.65608159341,344.59341281586,244710.422970915,225942.166283246,1.90447373302108
333.814887591337,7.29601297918055,131.574151417862,22.2848204752863,494.969426762433,334.100341629147,326.982432967036,344.656169894811,245350.006578346,226635.303947735,1.81065519967418
329.288554555442,7.29002851983141,127.874407099194,22.256572461358,481.051340992207,333.723272530362,326.308784340663,344.718926973761,245989.590185777,227328.441612224,1.71683666632727
324.762221519548,7.28254770241823,124.174662780527,22.2079938878544,467.133255221982,333.346203431576,325.635135714289,344.781684052712,246629.173793209,228021.579276713,1.62301813298036
320.235888483653,7.27353714936828,120.474918461859,22.1381191713515,453.215169451756,332.969134332791,324.961487087916,344.844441131662,247268.75740064,228714.716941202,1.52919959963345
315.709555447758,7.26296297479184,116.775174143192,22.0459513110077,439.297083681531,332.592065234005,324.287838461542,344.907198210612,247908.341008071,229407.854605691,1.43538106628654
311.183222411863,7.25079077795966,113.075429824524,21.9304609801211,425.378997911305,332.21499613522,323.614189835169,344.969955289563,248547.924615502,230100.99227018,1.34156253293963
306.656889375968,7.23698563669316,109.375685505857,21.7905855873787,411.460912141079,331.837927036434,322.940541208795,345.032712368513,249187.508222933,230794.129934669,1.24774399959272
302.130556340073,7.22151210066637,105.675941187189,21.6252283064802,397.542826370854,331.460857937649,322.266892582422,345.095469447464,249827.091830364,231487.267599158,1.15392546624581
297.604223304179,7.20433418461766,101.976196868521,21.4332570727513,383.624740600628,331.083788838863,321.593243956048,345.158226526414,250466.675437795,232180.405263647,1.0601069328989
293.077890268284,7.18541536147002,98.2764525498539,21.2135035452925,369.706654830403,330.706719740078,320.919595329675,345.220983605365,251106.259045226,232873.542928136,0.966288399551991
288.551557232389,7.16471855535812,94.5767082311864,20.9647620331338,355.788569060177,330.329650641292,320.245946703301,345.283740684315,251745.842652657,233566.680592625,0.872469866205081
284.025224196494,7.14220613456064,90.8769639125188,20.6857883837877,341.870483289952,329.952581542507,319.572298076928,345.346497763266,252385.426260089,234259.818257114,0.778651332858172
279.498891160599,7.11783990433616,87.1772195938513,20.3752988325109,327.952397519726,329.575512443721,318.898649450554,345.409254842216,253025.00986752,234952.955921602,0.684832799511262
274.972558124704,7.09158109966104,83.4774752751837,20.0319688104948,314.034311749501,329.198443344935,318.225000824181,345.472011921166,253664.593474951,235646.093586091,0.591014266164353
270.44622508881,7.06339037786746,79.7777309565162,19.6544317101159,300.116225979275,328.82137424615,317.551352197807,345.534769000117,254304.177082382,236339.23125058,0.497195732817444
